date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:25	5498/5498	---M-Z	200	added ('OK')	text/html	etag:%223a117d-157a-5aae246c1f380-gzip%22	https://www.flippity.net/TypingTest.htm	C:/My%20Websites/his3/www.flippity.net/TypingTest.html	(from https://www.flippity.net/)
18:13:26	5206/5206	---M--	200	added ('OK')	image/png	etag:%223a140b-1456-5a9676f34a500%22	https://www.flippity.net/images/Screenshot-SpellingWords.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-SpellingWords.png	(from https://www.flippity.net/)
18:13:26	262/262	---M--	302	error ('Found')	text/html	date:Thu,%2015%20Oct%202020%2010:13:22%20GMT	http://www.flippity.net/sw.php?k=1LaXauLqIe39hJ82FJVoAca--av39yezWDfmRPbWb4CI	C:/My%20Websites/his3/www.flippity.net/sw.40396f.delayed	(from https://www.flippity.net/)
18:13:27	32033/32033	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:23%20GMT	https://www.flippity.net/sw.php?k=1LaXauLqIe39hJ82FJVoAca--av39yezWDfmRPbWb4CI	C:/My%20Websites/his3/www.flippity.net/sw396f.html	(from https://www.flippity.net/)
18:13:27	5349/5349	---M-Z	200	added ('OK')	text/html	etag:%223a1177-14e5-5af39bfb72200-gzip%22	https://www.flippity.net/SpellingWords.htm	C:/My%20Websites/his3/www.flippity.net/SpellingWords.html	(from https://www.flippity.net/)
18:13:27	5200/5200	---M--	200	added ('OK')	image/png	etag:%223a1411-1450-5a9676f626bc0%22	https://www.flippity.net/images/Screenshot-WordSearch.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-WordSearch.png	(from https://www.flippity.net/)
18:13:27	15505/15505	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:24%20GMT	https://www.flippity.net/ws.php?k=1CAxOes-Aak8grmo4MU3OIiVtbxTMfBepJzPtOGKqkU0	C:/My%20Websites/his3/www.flippity.net/ws8a14.html	(from https://www.flippity.net/)
18:13:28	5022/5022	---M-Z	200	added ('OK')	text/html	etag:%223a1182-139e-5a3feebd24540-gzip%22	https://www.flippity.net/WordSearch.htm	C:/My%20Websites/his3/www.flippity.net/WordSearch.html	(from https://www.flippity.net/)
18:13:28	3502/3502	---M--	200	added ('OK')	image/png	etag:%223a13fd-dae-5a9676eba9300%22	https://www.flippity.net/images/Screenshot-Crossword.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-Crossword.png	(from https://www.flippity.net/)
18:13:28	14240/14240	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:24%20GMT	https://www.flippity.net/cw.php?k=1DtxxpNKD1K1EW_706I0CiQu8aCLwNUZcUNjwsYd0SSo	C:/My%20Websites/his3/www.flippity.net/cw8de0.html	(from https://www.flippity.net/)
18:13:28	5058/5058	---M-Z	200	added ('OK')	text/html	etag:%223a1156-13c2-5aae4af2116c0-gzip%22	https://www.flippity.net/Crossword.htm	C:/My%20Websites/his3/www.flippity.net/Crossword.html	(from https://www.flippity.net/)
18:13:28	3839/3839	---M--	200	added ('OK')	image/png	etag:%223a1410-eff-5a9676f532980%22	https://www.flippity.net/images/Screenshot-WordScramble.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-WordScramble.png	(from https://www.flippity.net/)
18:13:29	12855/12855	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:25%20GMT	https://www.flippity.net/sc.php?k=1Eq5oIU9OIpZTmhexX9lAr09XoeZBR7pH3Qb7LKzpIpY	C:/My%20Websites/his3/www.flippity.net/sc62fb.html	(from https://www.flippity.net/)
18:13:29	4137/4137	---M-Z	200	added ('OK')	text/html	etag:%223a1181-1029-59f420fd79d80-gzip%22	https://www.flippity.net/WordScramble.htm	C:/My%20Websites/his3/www.flippity.net/WordScramble.html	(from https://www.flippity.net/)
18:13:29	3865/3865	---M--	200	added ('OK')	image/png	etag:%223a140a-f19-5a9676f2562c0%22	https://www.flippity.net/images/Screenshot-Snowman.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-Snowman.png	(from https://www.flippity.net/)
18:13:29	18945/18945	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:26%20GMT	https://www.flippity.net/hm.php?k=1KTQTeZdjQbHlrxZOFUhZhFXes7nZYFS0rJv-rmfiQu0	C:/My%20Websites/his3/www.flippity.net/hm09b4.html	(from https://www.flippity.net/)
18:13:30	5237/5237	---M-Z	200	added ('OK')	text/html	etag:%223a1176-1475-5a8aec26925c0-gzip%22	https://www.flippity.net/Snowman.htm	C:/My%20Websites/his3/www.flippity.net/Snowman.html	(from https://www.flippity.net/)
18:13:30	7924/7924	---M--	200	added ('OK')	image/png	etag:%223a1404-1ef4-5a9676ef79c00%22	https://www.flippity.net/images/Screenshot-ProgressIndicator.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-ProgressIndicator.png	(from https://www.flippity.net/)
18:13:30	10544/10544	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:26%20GMT	https://www.flippity.net/pi.php?k=1BQWRFbb99gvU8NCF0r4gdcBpLVU6embjUbJ_G63ir2w	C:/My%20Websites/his3/www.flippity.net/picca6.html	(from https://www.flippity.net/)
18:13:30	4436/4436	---M-Z	200	added ('OK')	text/html	etag:%223a116d-1154-5a53f24887a80-gzip%22	https://www.flippity.net/ProgressIndicator.htm	C:/My%20Websites/his3/www.flippity.net/ProgressIndicator.html	(from https://www.flippity.net/)
18:13:31	24611/24611	---M--	200	added ('OK')	image/png	etag:%223a140f-6023-5aaf3c971b340%22	https://www.flippity.net/images/Screenshot-WordCloud.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-WordCloud.png	(from https://www.flippity.net/)
18:13:31	18012/18012	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:27%20GMT	https://www.flippity.net/wc.php?k=1rcqerrVNU4nUr3iG5pABb-XNFNjQzfeYY2Cu1LrFY8E	C:/My%20Websites/his3/www.flippity.net/wc77fe.html	(from https://www.flippity.net/)
18:13:31	4196/4196	---M-Z	200	added ('OK')	text/html	etag:%223a1180-1064-5ab0651517680-gzip%22	https://www.flippity.net/WordCloud.htm	C:/My%20Websites/his3/www.flippity.net/WordCloud.html	(from https://www.flippity.net/)
18:13:31	13661/13661	---M--	200	added ('OK')	image/png	etag:%223a13ff-355d-5a9676ec9d540%22	https://www.flippity.net/images/Screenshot-FunWithWords.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-FunWithWords.png	(from https://www.flippity.net/)
18:13:32	25459/25459	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:28%20GMT	https://www.flippity.net/fw.php?k=1NL3YTo6sUtgF3g1kaM7y0OFNVuqgfV8UOrDP8f2_jS4	C:/My%20Websites/his3/www.flippity.net/fw16fa.html	(from https://www.flippity.net/)
18:13:32	7284/7284	---M-Z	200	added ('OK')	text/html	etag:%223a115d-1c74-5aaf6e1f28f40-gzip%22	https://www.flippity.net/FunWithWords.htm	C:/My%20Websites/his3/www.flippity.net/FunWithWords.html	(from https://www.flippity.net/)
18:13:32	8686/8686	---M--	200	added ('OK')	image/png	etag:%223a1401-21ee-5a9676ed91780%22	https://www.flippity.net/images/Screenshot-MadLibs.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-MadLibs.png	(from https://www.flippity.net/)
18:13:32	13726/13726	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2010:13:29%20GMT	https://www.flippity.net/ml.php?k=1BkQI0df_GmRoLqZ3vdkd_fPv5xD5T6CSrfIKCLnl8Yk	C:/My%20Websites/his3/www.flippity.net/mlb901.html	(from https://www.flippity.net/)
18:13:32	3449/3449	---M-Z	200	added ('OK')	text/html	etag:%223a1163-d79-59f4202c9f0c0-gzip%22	https://www.flippity.net/MadLibs.htm	C:/My%20Websites/his3/www.flippity.net/MadLibs.html	(from https://www.flippity.net/)
18:13:33	9149/9149	---M--	200	added ('OK')	image/png	etag:%223a140d-23bd-5a9676f43e740%22	https://www.flippity.net/images/Screenshot-TournamentBracket.png	C:/My%20Websites/his3/www.flippity.net/images/Screenshot-TournamentBracket.png	(from https://www.flippity.net/)
